Id,asm,bytes
01IsoiSMh5gxyDYTl4CB,14679412,6874624
01SuzwMJEIXsK7A8dQbl,1045140,460288
01azqd4InC7m9JpocGv5,58961309,5256192
01jsnpXSAlgw6aPeDxrU,8921059,4825600
01kcPWA9K2BOxQeS5Rju,81988,712704
02IOCvYEy8mjiuAQHax3,3457122,831488
02JqQ7H3yEoD8viYWlmS,17902651,8834560
02K5GMYITj7bBoAisEmD,5755583,1024512
02MRILoE6rNhmt7FUi45,87702580,8775168
02mlBLHZTDFXGa7Nt6cr,1085462,623616
02zcUmKV16Lya5xqnPGB,37770554,3845632
03nJaQV6K2ObICUmyWoR,5467471,2093568
04BfoQRA6XEshiNuI7pF,230365,11329024
04EjIdbPV5e1XroFOpiN,4449524,890880
04QzZ3DVdPsEp9elLR65,206205,11329024
04cvLCVPqBMs6yn5xGlE,34287575,8493056
04hSzLv5s2TDYPlcgpHB,1059502,460288
04mcPSei852tgIKUwTJr,1232205,623616
04sJnMaORYc1SV5pKjrP,167711,8493056
05EeG39MTRrI6VY21DPd,980898,534528
05IXcWGxvnkto4sq17zZ,10214955,1618432
05Kps4iFw8mOLJZQrb1H,77839406,7720960
05LHG8fR3iPn6agIo9z7,6959810,2954752
05aiMRw13bYWqZ8OHvjl,15800755,7379456
05rJTUWYAKNegBk2wE8X,13320173,2925056
065EZhxgbLRSHsB87uIF,96072155,8359424
06KfrF7ltESna2ZHPVp5,179334,8493056
06QinlpeFIWj8qHc7Vys,16361174,1559040
06aLOj8EUXMByS423sum,15799886,7097344
06arUi9q3wHS2C8RZxeB,137489,8507904
06osXqPUVM1HbvBGNncT,34286071,8493056
07ECKjDTyQLnabNoxrIH,53922215,5048320
07iSOIG2urUvsMl9E5Rn,15965928,8433664
07nrG1cLKUPxjOlWMFiV,170266,11329024
08BX5Slp2I1FraZWbc6j,4738670,1098752
09CPNMYyQjSguFrE8UOf,22712916,2108416
09LXtWxm1EbK5uVqcQS3,177680,5300736
09bfacpUzuBN5W3S8KTo,272748,8493056
09sXMJUHwQWVanrhzAoT,3567134,2004480
0A32eTdBKayjCWhZqDOQ,38495501,4356052
0ACDbR5M3ZhBJajygTuf,12153703,5731328
0ASH2csN7k8jZyoRaqtn,79362974,7691264
0AV6MPlrTWG4fYI7NBtQ,8789140,4810752
0AguvpOCcaf2myVDYFGb,1110883,1232384
0AnoOZDNbPXIr2MRBSCJ,935311,593920
0AwWs42SUQ19mI7eDcTC,2112453,757248
0B2RwKm6dq9fjUWDNIOa,7991424,4840448
0BEsCP7NAUy8XmkenHWG,69520131,6874624
0BFIPv1rO83whtpMYyAs,960679,460288
0BIdbVDEgmPwjYF4xzir,178009,5300736
0BKcmNv4iGY2hsVSaXJ6,187232,11329024
0BLbmzJRkjNynCgQIdtV,34285673,8493056
0BY2iPso3bEmudlUzpfq,3775924,1544192
0BZQIJak6Pu2tyAXfrzR,1798843,712704
0C4aVbN58O1nAigFJt9z,2680089,742400
0CPaAXtyswrBq83D6VEg,62964382,5627392
0Cq4wfhLrKBJiut1lYAZ,5415574,3014144
0CzL6rfwaTqGOu9eghBt,34284921,8493056
0D9IedmC1viTPugLRWX6,181251,8507904
0DM3hS6Gg2QVKb1fZydv,15714131,7706112
0DNVFKwYlcjO7bTfJ5p1,3399241,876032
0DTp59Av1RLifoKlUdm7,35725051,4370842
0DTs2PhZfCwEv7q8349K,162245,8493056
0DbLeKSoxu47wjqVHsi9,6215335,1098752
0Dk7Wd8MERu3b5rmQzCK,127038,8507904
0DqUX5rkg3IbMY6BLGCE,2258539,683008
0EAdHtLDypMcwjTFJziC,84559256,8344576
0EL7OGZKozbiNCVP61gk,9225214,3801088
0Eo9qT6idXHDMebwmvPA,181488,8493056
0F4qIHaR7xOrm19Set3o,78307696,7824896
0FKerJl18xOc3jdoyg4A,96085447,9235456
0FOXjzmnD9CUMVcSlEqh,6672120,712704
0FdOaDWrfBU6TqwCRYxA,34283717,8493056
0Fu9oETtMW4zlg1ZrUy6,170977,11329024
0G2RV1chBlIbkt6JqA5Q,85313161,8389120
0G4hwobLuAzvl1PWYfmd,16739135,3355648
0GKp9ZJclxTABMunIOD2,38163819,4370146
0GKzFQ81IYXqUWkmfv26,178305,8493056
0GUIi7xAlODwZ4YBenNM,12416079,1870848
0GVcTdBQXWUJ2t7vjphN,226156,11329024
0GbMkYlNyt72OzBjIcVh,7153691,1232384
0Gu4misTcKynQD2Ol1Jx,15001103,7275520
0GuYe4J7oLwQ82xr3pWS,125219276,12323840
0GvtWEPUBfDAcMbiYVSR,169548,8493056
0H5OFklQm7wAPfE1qaJY,965128,460288
0H63jydvIahOVqgx5Kfo,11765407,2449920
0HICT7RtjaVQzcNOeMgS,6644532,1128448
0HKFs3AXTt1IrOl52eVu,1453635,445440
0HKM38fmCR5DrxoIkBnQ,38772405,4355600
0HVAnMrp1LjKDmuoOJFY,1024763,460288
0HcZRmLi9VTpuQJCoXny,38071669,3830784
0Hlm4XgE1cQhC6BkMays,90950911,9146368
0Hn2ojct97Wp1TbdNM4Q,4269355,801792
0Hrfce4X5YGESJPjl9uL,43694817,7245824
0I4ZVvngsAatm8fzD3pk,3965141,1262080
0IAlcuEiP9G6epb71Oom,15672846,8478208
0IMUKlZs1Sm8LpGRkWhT,179683,8493056
0IYZltU7uMpaco85PfKr,169919,11329024
0IelgX5H2s14KutkEyNU,1361963,638464
0ItXlAUOhK8ZYdDf7HW4,966035,460288
0Iv6U2hbcP1xeBitW5Oo,5582369,549376
0IyaidUKRqnt2PDfOzHT,177433,8493056
0J2pOclDKjadkL57eroz,34285966,8493056
0J61YGoWjV25TzxeSluf,1039694,460288
0JAx9gzbC54Q61XBrqc7,1280293,623616
0JAzwGUKORhFQWr3o1dN,175541,8493056
0JBNEWmdi7GptrK5qYD9,166178,8493056
0JECiqrVNR1dgj67pZue,75913146,7527936
